"24378010","Purdue University - Purdue Polytechnic Vincennes","Vincennes, Indiana"
"151102","Purdue University Fort Wayne","Fort Wayne, Indiana"
"489779","Purdue University Global","West Lafayette, Indiana"
"490805","Purdue University Northwest","Hammond, Indiana"
"243780","Purdue University-Main Campus","West Lafayette, Indiana"
"152275","Ravenscroft Beauty College","Fort Wayne, Indiana"
"47503316","Relay Graduate School of Education - Indiana","Indianapolis, Indiana"
"152309","Rogers Academy of Hair Design","Evansville, Indiana"
"152318","Rose-Hulman Institute of Technology","Terre Haute, Indiana"
"484349","Ross Medical Education Center-Evansville","Evansville, Indiana"
"456506","Ross Medical Education Center-Fort Wayne","Fort Wayne, Indiana"
"460109","Ross Medical Education Center-Granger","Granger, Indiana"
"481863","Ross Medical Education Center-Kokomo","Kokomo, Indiana"
"488961","Ross Medical Education Center-Lafayette","Lafayette, Indiana"
"486752","Ross Medical Education Center-Muncie","Muncie, Indiana"
"437857","Rudae's School of Beauty Culture-Ft Wayne","Fort Wayne, Indiana"
"152497","Saint Elizabeth School of Nursing","Lafayette, Indiana"
"152381","Saint Mary-of-the-Woods College","Saint Mary of the Woods, Indiana"
"152390","Saint Mary's College","Notre Dame, Indiana"
"152451","Saint Meinrad School of Theology","St. Meinrad, Indiana"
"457572","Summit Salon Academy","Anderson, Indiana"
"462017","Summit Salon Academy-Kokomo","Kokomo, Indiana"
"151564","Taylor Institute of Cosmetology II","Knox, Indiana"
"152530","Taylor University","Upland, Indiana"
"488129","Textures Institute of Cosmetology","Indianapolis, Indiana"
"459392","The Salon Professional Academy-Evansville","Evansville, Indiana"
"367088","Tricoci University of Beauty Culture LLC-Bloomington","Bloomington, Indiana"
"150303","Tricoci University of Beauty Culture-Highland","Highland, Indiana"
"414869","Tricoci University of Beauty Culture-Indianapolis","Indianapolis, Indiana"
"151607","Tricoci University of Beauty Culture-Lafayette","Lafayette, Indiana"
"152567","Trine University","Angola, Indiana"
"414878","Trine University-Regional/Non-Traditional Campuses","Angola, Indiana"
